transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,channel,merchant_category,merchant_name,customer_segment,fraud_flag,fraud_type,risk_score,fraud_rule_score,ml_anomaly_score_norm,final_risk_score,final_alert_tier,rules_triggered,alert_tier,chargeback_flag,refund_flag,reversal_flag,net_pnl_impact,fraud_loss,chargeback_loss
TXN-00015594,CUST-006160,2023-05-22,402545.48,Transfer,USSD,Crypto Exchanges,Bybit,Corporate,1,Phishing,100,53.9,99.31,83.66,VERY HIGH,10,Orange,1,0,0,-824413.48,402545.48,422672.75
TXN-00022805,CUST-005746,2024-08-01,424588.36,Purchase,USSD,Travel & Airlines,United Airlines,Private Banking,1,Mule Account,98,48.94,99.59,81.31,VERY HIGH,9,Orange,1,1,0,-502288.17,0.0,445817.78
TXN-00015599,CUST-006256,2024-12-01,33663.24,Fee Charge,Branch,Crypto Exchanges,OKX,Premium,1,Card Not Present Fraud,100,48.23,96.72,80.9,VERY HIGH,9,Orange,1,0,0,-69077.45,33663.24,35346.4
TXN-00028416,CUST-004630,2024-06-03,35099.88,Reversal,Mobile Banking,Gaming & Gambling,FanDuel,Premium,1,Synthetic Identity,100,48.23,95.95,80.67,VERY HIGH,9,Orange,1,0,1,-36925.43,0.0,36854.87
TXN-00029849,CUST-005288,2024-03-31,5381.72,Payment,API/Open Banking,Crypto Exchanges,Binance,Retail,1,SIM Swap,100,48.94,94.51,80.48,VERY HIGH,9,Orange,1,0,0,-5656.44,0.0,5650.81
TXN-00025302,CUST-001831,2023-12-27,28281.16,Reversal,Internet Banking,Travel & Airlines,United Airlines,NRI / Diaspora,1,First Party Fraud,100,47.52,95.94,80.41,VERY HIGH,9,Orange,1,0,1,-29751.9,0.0,29695.22
TXN-00046714,CUST-002409,2023-04-26,31809.62,Purchase,POS Terminal,Luxury Goods,Gucci,NRI / Diaspora,1,Authorised Push Payment,97,49.65,96.53,80.29,VERY HIGH,9,Orange,1,0,0,-32859.7,0.0,33400.1
TXN-00025713,CUST-003949,2024-04-11,19303.74,Purchase,Mobile Banking,Luxury Goods,Hermès,Retail,1,Authorised Push Payment,98,48.23,96.23,80.05,VERY HIGH,9,Orange,1,0,0,-19940.88,0.0,20268.93
TXN-00039320,CUST-001009,2024-11-19,5586.86,Refund,USSD,Auto & Transportation,Hertz,Retail,1,SIM Swap,100,46.81,94.93,79.86,VERY HIGH,9,Orange,1,1,0,-12302.54,5586.86,5866.2
TXN-00049641,CUST-005789,2024-09-14,48291.19,Chargeback,POS Terminal,Retail / General Merchandise,Best Buy,NRI / Diaspora,1,First Party Fraud,100,43.97,98.07,79.81,VERY HIGH,8,Orange,1,1,0,-106337.32,48291.19,50705.75
TXN-00030944,CUST-006135,2023-05-06,12150.38,Refund,Internet Banking,Travel & Airlines,British Airways,Retail,1,Card Not Present Fraud,100,44.68,96.54,79.6,VERY HIGH,8,Orange,1,1,0,-26755.62,12150.38,12757.9
TXN-00033202,CUST-007344,2023-02-03,33415.41,Payment,ATM,Financial Services / Money Transfer,Remitly,Premium,1,Mule Account,100,44.68,96.19,79.5,VERY HIGH,8,Orange,1,0,0,-68535.26,33415.41,35086.18
TXN-00049183,CUST-000316,2024-10-13,288205.43,Refund,ATM,Grocery & Supermarkets,Tesco,Private Banking,1,Synthetic Identity,100,42.55,98.54,79.45,VERY HIGH,8,Orange,1,1,0,-346423.26,0.0,302615.7
TXN-00032537,CUST-003512,2023-04-21,3799.6,Reversal,API/Open Banking,Financial Services / Money Transfer,Western Union,Retail,1,Account Takeover,100,46.1,94.28,79.42,VERY HIGH,9,Orange,1,0,1,-3997.65,0.0,3989.58
TXN-00021004,CUST-003548,2023-05-19,24716.61,Purchase,Mobile Banking,Gaming & Gambling,Bet365,Premium,1,First Party Fraud,100,44.68,95.57,79.31,VERY HIGH,8,Orange,1,0,0,-25532.69,0.0,25952.44
TXN-00044286,CUST-006181,2024-10-29,23167.46,Withdrawal,Mobile Banking,Gaming & Gambling,Steam,Premium,1,Account Takeover,100,44.68,95.46,79.28,VERY HIGH,8,Orange,1,0,0,-47516.93,23167.46,24325.83
TXN-00019116,CUST-001651,2023-07-18,6436.7,Purchase,Branch,Financial Services / Money Transfer,PayPal,Retail,1,Friendly Fraud,100,45.39,94.61,79.27,VERY HIGH,8,Orange,1,0,0,-13086.09,6436.7,6758.53
TXN-00007805,CUST-002754,2024-12-07,4714.61,Purchase,Mobile Banking,Crypto Exchanges,Coinbase,Retail,1,Friendly Fraud,100,44.68,95.4,79.26,VERY HIGH,8,Orange,1,0,0,-9584.96,4714.61,4950.34
TXN-00035131,CUST-004049,2023-06-10,175285.06,Fee Charge,Branch,Financial Services / Money Transfer,Wise,Corporate,1,Mule Account,100,41.84,98.1,79.07,VERY HIGH,8,Orange,1,0,0,-359685.29,175285.06,184049.31
TXN-00001546,CUST-007136,2023-09-28,102934.62,Purchase,ATM,Financial Services / Money Transfer,Wise,SME,1,Identity Theft,97,43.97,98.78,78.97,VERY HIGH,8,Orange,1,0,0,-209266.22,102934.62,108081.35
TXN-00044249,CUST-003020,2023-11-09,63693.95,Deposit,POS Terminal,Crypto Exchanges,OKX,SME,1,Card Not Present Fraud,100,41.84,97.08,78.77,VERY HIGH,8,Orange,1,0,0,-67006.33,0.0,66878.65
TXN-00001724,CUST-005102,2023-03-10,115321.88,Withdrawal,Mobile Banking,Financial Services / Money Transfer,Remitly,Premium,1,Friendly Fraud,97,43.97,97.95,78.72,VERY HIGH,8,Orange,1,0,0,-236525.5,115321.88,121087.97
TXN-00030387,CUST-007146,2024-10-24,72673.41,Payment,Call Centre,Fuel & Petroleum,Chevron,SME,1,Synthetic Identity,100,41.13,97.39,78.61,VERY HIGH,8,Orange,1,0,0,-149053.39,72673.41,76307.08
TXN-00006072,CUST-000564,2024-09-29,11577.78,Purchase,USSD,Retail / General Merchandise,Costco,Retail,1,Synthetic Identity,98,43.26,97.01,78.54,VERY HIGH,8,Orange,1,1,0,-25274.74,11577.78,12156.67
TXN-00025288,CUST-001085,2024-02-12,1573.94,Interest Credit,Mobile Banking,Travel & Airlines,British Airways,Student,1,Mule Account,100,42.55,95.14,78.43,VERY HIGH,8,Orange,1,0,0,-3230.08,1573.94,1652.64
TXN-00030809,CUST-003495,2024-08-21,527551.6,Reversal,Branch,Government & Taxes,HMRC,Private Banking,1,Authorised Push Payment,100,39.01,98.91,78.33,VERY HIGH,7,Yellow,1,1,1,-634117.48,0.0,553929.18
TXN-00045774,CUST-002334,2024-02-28,125164.86,Purchase,Mobile Banking,Luxury Goods,Rolex,Private Banking,1,Mule Account,100,38.3,99.4,78.22,VERY HIGH,7,Yellow,1,0,0,-254460.46,125164.86,131423.1
TXN-00016350,CUST-007870,2024-03-27,7216.16,Purchase,ATM,Grocery & Supermarkets,Whole Foods,Retail,1,First Party Fraud,100,41.84,95.08,78.17,VERY HIGH,8,Orange,1,0,0,-14670.84,7216.16,7576.97
TXN-00039167,CUST-005623,2023-02-18,814150.87,Deposit,Internet Banking,Financial Services / Money Transfer,MoneyGram,Corporate,1,Synthetic Identity,99,40.43,97.56,78.07,VERY HIGH,7,Orange,1,0,0,-856487.12,0.0,854858.41
TXN-00029630,CUST-002410,2024-08-30,27560.51,Fee Charge,Mobile Banking,Financial Services / Money Transfer,Western Union,Premium,1,Card Not Present Fraud,97,43.97,95.7,78.05,VERY HIGH,8,Orange,1,0,0,-56554.28,27560.51,28938.54
TXN-00028022,CUST-006044,2024-06-10,3739.15,Payment,USSD,Financial Services / Money Transfer,Wise,Retail,1,SIM Swap,100,42.55,93.69,78.0,VERY HIGH,8,Orange,1,0,0,-3930.3,0.0,3926.11
TXN-00028429,CUST-006391,2023-02-17,9761.17,Deposit,USSD,Retail / General Merchandise,Amazon,Retail,1,Phishing,100,41.13,95.34,78.0,VERY HIGH,8,Orange,1,0,0,-10269.04,0.0,10249.23
TXN-00023994,CUST-007495,2024-02-26,123211.21,Transfer,Internet Banking,Luxury Goods,Rolex,Corporate,1,Card Not Present Fraud,97,41.13,98.81,77.99,VERY HIGH,8,Orange,1,1,0,-270818.44,123211.21,129371.77
TXN-00006082,CUST-005150,2024-06-13,2248.04,Refund,ATM,Financial Services / Money Transfer,Remitly,Retail,1,Authorised Push Payment,100,41.13,94.1,77.63,VERY HIGH,8,Orange,1,1,0,-2702.43,0.0,2360.44
TXN-00003205,CUST-006581,2023-01-08,448599.58,Transfer,USSD,Government & Taxes,IRS Payment,Corporate,1,SIM Swap,100,37.59,98.0,77.56,VERY HIGH,7,Yellow,1,0,0,-470132.49,0.0,471029.56
TXN-00049807,CUST-007194,2023-12-28,4543.35,Purchase,Mobile Banking,Financial Services / Money Transfer,Remitly,Retail,1,Friendly Fraud,100,40.43,94.64,77.54,VERY HIGH,7,Orange,1,0,0,-9237.08,4543.35,4770.52
TXN-00020946,CUST-005119,2024-02-18,74236.6,Payment,Internet Banking,Travel & Airlines,Emirates,SME,1,Mule Account,100,39.01,96.08,77.48,VERY HIGH,7,Yellow,1,0,0,-78023.11,0.0,77948.43
TXN-00041787,CUST-003265,2023-05-02,107766.53,Card Not Present,POS Terminal,Retail / General Merchandise,Target,SME,1,Friendly Fraud,100,36.88,98.45,77.44,VERY HIGH,7,Yellow,1,0,0,-220921.64,107766.53,113154.86
TXN-00044646,CUST-006306,2023-09-24,5404.17,Transfer,ATM,Education,Udemy,Retail,1,Authorised Push Payment,100,39.01,95.44,77.29,VERY HIGH,7,Yellow,1,1,0,-11878.59,5404.17,5674.38
TXN-00048890,CUST-006647,2024-01-10,848226.9,Transfer,Mobile Banking,Auto & Transportation,AutoZone,Corporate,1,Account Takeover,100,36.17,98.74,77.28,VERY HIGH,7,Yellow,0,0,1,-846530.8,848226.9,0.0
TXN-00029349,CUST-002642,2023-05-15,10506.54,Purchase,Mobile Banking,Gaming & Gambling,DraftKings,Retail,1,Synthetic Identity,100,40.43,93.63,77.24,VERY HIGH,7,Orange,1,0,0,-10853.62,0.0,11031.87
TXN-00042805,CUST-006341,2024-06-15,6784.78,Refund,Mobile Banking,Electronics & Technology,Flipkart,Retail,1,Friendly Fraud,100,39.01,95.05,77.17,VERY HIGH,7,Yellow,1,1,0,-14940.46,6784.78,7124.02
TXN-00021542,CUST-005840,2024-07-30,27334.57,Purchase,API/Open Banking,Retail / General Merchandise,Amazon,Premium,1,First Party Fraud,100,37.59,96.61,77.14,VERY HIGH,7,Yellow,1,0,0,-28236.9,0.0,28701.3
TXN-00004948,CUST-000156,2024-07-02,7042.44,Chargeback,ATM,Travel & Airlines,Emirates,Retail,1,Synthetic Identity,100,39.01,94.57,77.02,VERY HIGH,7,Yellow,1,0,1,-7408.97,0.0,7394.56
TXN-00007775,CUST-001925,2024-12-07,13788.41,Card Not Present,USSD,Financial Services / Money Transfer,Wise,SME,1,Authorised Push Payment,100,39.72,93.62,76.99,VERY HIGH,8,Yellow,0,0,1,-0.21,0.0,0.0
TXN-00003675,CUST-002644,2023-04-14,25303.03,Chargeback,Mobile Banking,Travel & Airlines,British Airways,Premium,1,First Party Fraud,100,39.01,94.31,76.95,VERY HIGH,7,Yellow,1,0,0,-26618.93,0.0,26568.18
TXN-00044426,CUST-004480,2023-06-27,33866.28,Purchase,Call Centre,Restaurants & Food Delivery,Starbucks,Premium,1,SIM Swap,100,37.59,95.99,76.95,VERY HIGH,7,Yellow,1,0,0,-34984.11,0.0,35559.59
TXN-00017933,CUST-000777,2024-02-18,7348.67,Refund,ATM,Retail / General Merchandise,Costco,Retail,1,Mule Account,100,39.01,94.3,76.94,VERY HIGH,7,Yellow,1,1,0,-8833.37,0.0,7716.1
TXN-00044141,CUST-006313,2024-10-24,164976.02,Purchase,Mobile Banking,Utilities & Telecom,Jio,Private Banking,1,Authorised Push Payment,98,36.88,99.08,76.93,VERY HIGH,7,Yellow,1,0,0,-337458.66,164976.02,173224.82
TXN-00009653,CUST-007261,2024-05-18,4554.08,Refund,Internet Banking,Hotels & Accommodation,IHG,Retail,1,Mule Account,100,39.01,94.25,76.93,VERY HIGH,7,Yellow,1,1,0,-5474.36,0.0,4781.78
