merchant_name,merchant_category,transactions,gross_tv,fee_income,chargeback_loss,refund_loss,fraud_loss,net_pnl,fraud_count,chargeback_count,avg_risk,fraud_rate,chargeback_rate,refund_rate,merchant_risk_rank
Costco,Retail / General Merchandise,1478,9891060.34,24060.47,316815.97000000003,368553.3,3382437.34,-4034499.92,76,36,10.587956698240866,5.14,2.44,3.7261,Medium
ALDI,Grocery & Supermarkets,1198,8280254.78,23131.079999999998,1477880.8,100198.72,2354730.62,-3889008.0100000002,66,34,10.836393989983305,5.51,2.84,1.2101,High
Amazon,Retail / General Merchandise,1437,9962563.7,27243.25,1758663.8499999999,73699.44,2231837.23,-4032142.4000000004,76,37,10.807933194154488,5.29,2.57,0.7398,Medium
Tuition Direct,Education,215,3050044.1,8528.05,19760.89,6018.900000000001,2202993.57,-2188599.03,13,5,11.572093023255814,6.05,2.33,0.1973,High
Best Buy,Retail / General Merchandise,1427,8938307.09,21699.83,444031.91,88477.31,1990646.07,-2483577.72,75,38,10.561317449194114,5.26,2.66,0.9899,Medium
Uber Eats,Restaurants & Food Delivery,935,5953278.88,17261.99,748828.67,61207.130000000005,1920163.73,-2693929.39,44,22,10.346524064171122,4.71,2.35,1.0281,Moderate
ExxonMobil,Fuel & Petroleum,801,5532417.6,15661.92,99756.18,46141.62,1811830.5699999998,-1940205.53,35,18,9.731585518102372,4.37,2.25,0.834,Low
Boots,Healthcare & Pharmacy,621,5302472.63,16934.28,1586358.1500000001,60419.42,1752495.16,-3371305.36,32,16,10.70048309178744,5.15,2.58,1.1395,Medium
AutoZone,Auto & Transportation,307,2714531.5100000002,8222.62,6006.25,49772.03,1509591.29,-1559872.83,17,9,10.745928338762216,5.54,2.93,1.8335,Medium
Sainsbury's,Grocery & Supermarkets,1161,6993452.32,19574.41,1107612.2000000002,75267.93000000001,1445739.76,-2584532.99,61,30,10.733850129198967,5.25,2.58,1.0763,Medium
TotalEnergies,Fuel & Petroleum,793,5293304.32,15104.65,1434510.59,79346.21,1412686.83,-2912713.35,43,24,10.827238335435057,5.42,3.03,1.499,High
Shell,Fuel & Petroleum,812,5719079.41,14092.789999999999,283409.06,37543.090000000004,1364937.3800000001,-1645342.76,46,31,10.996305418719212,5.67,3.82,0.6565,High
Flipkart,Online Marketplaces,607,3947919.7600000002,11349.45,1189622.76,29151.15,1319077.9000000001,-2524350.45,35,28,11.184514003294893,5.77,4.61,0.7384,High
Walgreens,Healthcare & Pharmacy,555,4372185.22,12771.69,652548.23,52710.56,1188060.5799999998,-1871860.2,30,19,11.117117117117116,5.41,3.42,1.2056,High
Target,Retail / General Merchandise,1480,9968456.31,28241.36,2238404.05,136972.07,1164165.75,-3480503.09,74,50,10.704054054054055,5.0,3.38,1.3741,Medium
Apple Store,Electronics & Technology,637,4491891.6,10230.56,582638.02,35492.17,1119103.44,-1721493.16,29,19,10.307692307692308,4.55,2.98,0.7901,Moderate
Jio,Utilities & Telecom,509,3712611.2199999997,8799.49,689470.72,13463.03,1054793.62,-1755190.73,33,23,11.844793713163066,6.48,4.52,0.3626,Critical
Whole Foods,Grocery & Supermarkets,1147,6592887.9799999995,17209.260000000002,978903.3800000001,115808.65000000001,1009409.88,-2074262.6700000002,53,29,10.421970357454228,4.62,2.53,1.7566,Moderate
Walmart,Retail / General Merchandise,1480,9343573.55,29203.52,417354.35000000003,126664.84,988022.87,-1503544.58,74,41,10.302702702702703,5.0,2.77,1.3556,Moderate
United Airlines,Travel & Airlines,575,3905332.64,10718.69,768404.6,109941.41,863623.04,-1714282.05,31,17,10.787826086956521,5.39,2.96,2.8152,Medium
PayPal,Financial Services / Money Transfer,672,4047266.65,10912.25,217373.86,104934.67,861729.73,-1166113.91,32,22,17.928571428571427,4.76,3.27,2.5927,Critical
Kroger,Grocery & Supermarkets,1242,8267070.37,23630.41,1599400.33,73197.68,814204.71,-2447294.7,59,34,10.25523349436393,4.75,2.74,0.8854,Moderate
Delta,Travel & Airlines,557,3066178.42,10469.86,26427.7,58072.950000000004,773812.08,-845149.96,25,11,10.217235188509875,4.49,1.97,1.894,Moderate
Comcast,Utilities & Telecom,510,3940869.86,9620.08,1218031.35,49882.86,745473.12,-2011208.3,31,13,11.14313725490196,6.08,2.55,1.2658,High
Emirates,Travel & Airlines,592,3766997.09,8421.67,353925.35,36328.22,719926.8700000001,-1096724.8499999999,30,18,10.579391891891891,5.07,3.04,0.9644,Medium
Domino's,Restaurants & Food Delivery,1037,7747970.46,18465.72,167206.23,100256.23,706745.9600000001,-930310.37,38,19,9.63066538090646,3.66,1.83,1.294,Low
Hermès,Luxury Goods,189,1335667.06,2328.53,26739.13,4714.070000000001,657428.48,-687419.14,12,6,11.53968253968254,6.35,3.17,0.3529,High
DoorDash,Restaurants & Food Delivery,994,5512848.5,15303.84,1407208.07,161906.02000000002,650691.0499999999,-2199134.44,67,34,11.752515090543259,6.74,3.42,2.9369,High
Alibaba,Online Marketplaces,616,3628340.84,12178.68,316719.41000000003,13821.800000000001,625123.08,-936138.04,29,17,10.238636363636363,4.71,2.76,0.3809,Moderate
British Airways,Travel & Airlines,576,3646963.94,8387.35,140769.15,44699.479999999996,608371.1499999999,-774072.3600000001,29,21,10.73263888888889,5.03,3.65,1.2257,Medium
Western Union,Financial Services / Money Transfer,725,4876709.15,11729.54,385502.76,47291.43,599803.51,-1018448.97,42,25,19.053793103448275,5.79,3.45,0.9697,Critical
Lazada,Online Marketplaces,577,3001837.8600000003,8567.76,173522.38999999998,26079.030000000002,562035.33,-749394.42,32,15,10.838821490467938,5.55,2.6,0.8688,High
Rightmove Deposit,Real Estate,210,1658675.79,5967.01,101496.27,1801.47,503135.93,-600725.59,9,6,10.014285714285714,4.29,2.86,0.1086,Low
Verizon,Utilities & Telecom,464,2221820.67,6850.59,403356.16000000003,45976.66,448144.85,-895142.4600000001,26,14,11.14655172413793,5.6,3.02,2.0693,High
Wise,Financial Services / Money Transfer,733,3536994.0,8093.26,479905.73000000004,60906.46,445599.54,-974621.8799999999,43,27,19.193724420190996,5.87,3.68,1.722,Critical
Chevron,Fuel & Petroleum,758,5111466.08,12045.369999999999,238497.65000000002,189646.24,444561.93,-849922.15,39,20,10.580474934036939,5.15,2.64,3.7102,Medium
McDonald's,Restaurants & Food Delivery,981,6368620.27,17345.23,672220.69,66595.41,435615.33,-1148952.5999999999,49,29,10.46788990825688,4.99,2.96,1.0457,Medium
Samsung,Electronics & Technology,684,4258438.95,11195.42,632386.75,85951.09,410566.65,-1108614.49,37,24,10.97953216374269,5.41,3.51,2.0184,High
Bybit,Crypto Exchanges,107,886439.49,3369.85,422672.75,3129.8,406434.36999999994,-830029.6699999999,3,1,16.46728971962617,2.8,0.93,0.3531,Critical
Louis Vuitton,Luxury Goods,180,961738.41,2523.79,390396.57,12941.26,387017.42000000004,-788484.65,3,2,7.772222222222222,1.67,1.11,1.3456,Low
Marriott,Hotels & Accommodation,396,2343744.73,5448.56,159796.99000000002,6776.7,386248.13,-545541.46,21,11,10.141414141414142,5.3,2.78,0.2891,Moderate
Hyatt,Hotels & Accommodation,405,2261934.26,6580.0599999999995,20467.1,6669.73,384532.91000000003,-397667.35000000003,20,6,10.187654320987654,4.94,1.48,0.2949,Moderate
Airbnb,Hotels & Accommodation,361,2351581.05,7510.18,645089.75,17652.350000000002,354735.54000000004,-1010411.23,21,12,10.626038781163436,5.82,3.32,0.7507,Medium
BP,Fuel & Petroleum,785,3892385.0100000002,10664.23,60453.659999999996,53713.39,350966.24,-446838.42,39,14,10.205095541401274,4.97,1.78,1.38,Moderate
Lufthansa,Travel & Airlines,540,2975358.62,8456.5,275948.58,26896.99,337217.27999999997,-626103.9,23,11,9.60925925925926,4.26,2.04,0.904,Low
Etsy,Online Marketplaces,583,3771219.54,9177.62,523421.49000000005,80727.24,321841.38,-907654.84,24,15,10.072041166380789,4.12,2.57,2.1406,Low
CVS Health,Healthcare & Pharmacy,577,3814905.09,9962.64,652157.2899999999,14234.17,289502.55,-946217.82,27,17,10.121317157712305,4.68,2.95,0.3731,Moderate
HMRC,Government & Taxes,99,1268046.0499999998,2468.42,799392.4600000001,90815.68000000001,281259.15,-1171102.48,8,5,12.767676767676768,8.08,5.05,7.1619,Critical
Flipkart,Electronics & Technology,689,3607812.27,8974.02,216604.59,18474.43,279898.08,-495464.33,32,21,10.198838896952104,4.64,3.05,0.5121,Moderate
Tesco,Grocery & Supermarkets,1198,7547444.37,20739.49,1029379.22,125135.91,261078.76,-1378403.05,52,29,10.01669449081803,4.34,2.42,1.658,Low
Rolex,Luxury Goods,202,1250189.22,3495.15,274596.99,21698.730000000003,259896.06,-550488.15,7,6,9.287128712871286,3.47,2.97,1.7356,Low
Hilton,Hotels & Accommodation,389,2341095.82,5604.03,740067.21,16766.69,251470.11999999997,-1004220.8099999999,24,12,11.215938303341902,6.17,3.08,0.7162,High
Rite Aid,Healthcare & Pharmacy,604,3389395.12,8751.98,74271.56,29603.16,236875.75,-325657.58999999997,27,13,10.321192052980132,4.47,2.15,0.8734,Moderate
AT&T,Utilities & Telecom,503,2740977.07,7106.22,671646.78,20542.22,231863.19,-921562.9,25,19,10.312127236580517,4.97,3.78,0.7494,Moderate
Starbucks,Restaurants & Food Delivery,930,5117605.16,16027.5,806785.7899999999,44513.44,229174.93,-1051223.28,44,19,10.345161290322581,4.73,2.04,0.8698,Moderate
Vodafone,Utilities & Telecom,474,2423294.65,5598.43,337724.7,36914.87,196745.5,-569041.3,21,16,10.341772151898734,4.43,3.38,1.5233,Moderate
Disney+,Entertainment & Streaming,165,1239683.82,3553.56,202412.60000000003,2992.39,189023.01,-382143.37,11,8,11.521212121212121,6.67,4.85,0.2414,High
Remitly,Financial Services / Money Transfer,693,4305236.82,12126.99,204405.55,27965.26,185082.54,-397315.78,38,17,18.913419913419915,5.48,2.45,0.6496,Critical
GEICO,Insurance,105,675459.64,1855.8799999999999,82.68,10176.330000000002,162088.23,-170671.39,5,1,10.980952380952381,4.76,0.95,1.5066,High
eBay,Online Marketplaces,591,4876546.81,10617.37,414283.2,51134.3,152909.4,-602084.13,28,22,10.490693739424703,4.74,3.72,1.0486,Medium
Coursera,Education,215,1072684.08,3263.52,213528.41,16632.68,151722.43,-376553.09,10,7,9.82325581395349,4.65,3.26,1.5506,Low
Best Buy,Electronics & Technology,670,4344767.75,9760.470000000001,54871.93000000001,29151.350000000002,147833.43,-214369.25,30,17,10.131343283582089,4.48,2.54,0.671,Moderate
Lyft,Auto & Transportation,295,2154630.48,5546.57,100967.31,37718.0,142044.31,-271512.07,11,5,9.813559322033898,3.73,1.69,1.7506,Low
Coinbase,Crypto Exchanges,111,941315.4600000001,2022.01,74395.37,30933.899999999998,141175.06,-244539.8,5,2,18.38738738738739,4.5,1.8,3.2862,Critical
Currys,Electronics & Technology,697,3288673.93,9252.65,62890.26,24217.600000000002,131472.7,-200960.53,27,14,9.835007173601149,3.87,2.01,0.7364,Low
Chegg,Education,195,1192873.3,3245.9700000000003,219234.57,37590.65,118758.83,-373299.75,5,4,8.712820512820512,2.56,2.05,3.1513,Low
Steam,Gaming & Gambling,198,1120091.3699999999,2798.88,35646.11,7679.88,104748.16,-139517.62,8,5,18.055555555555557,4.04,2.53,0.6856,Critical
IHG,Hotels & Accommodation,423,2351213.56,7112.3,117700.6,31611.28,96981.40999999999,-231615.92,17,13,9.77304964539007,4.02,3.07,1.3445,Low
JLL,Real Estate,209,1180790.78,3992.23,254129.14,15922.15,95881.84,-359847.77,13,7,11.636363636363637,6.22,3.35,1.3484,High
Aviva,Insurance,97,390737.58,1034.6200000000001,7500.599999999999,1413.52,90868.61,-97538.91,5,3,10.56701030927835,5.15,3.09,0.3618,Medium
Gucci,Luxury Goods,198,850645.72,2166.13,51066.10999999999,4174.2699999999995,84454.36,-133928.96,7,6,9.156565656565656,3.54,3.03,0.4907,Low
OKX,Crypto Exchanges,109,695590.11,1778.5900000000001,156211.15,9494.57,84034.34,-245903.18,8,5,20.587155963302752,7.34,4.59,1.365,Critical
YouTube Premium,Entertainment & Streaming,205,1051758.24,3191.7200000000003,28354.94,11069.460000000001,81897.65,-116981.24,12,7,10.751219512195123,5.85,3.41,1.0525,Medium
Netflix,Entertainment & Streaming,196,1070135.35,3031.11,18156.4,5977.14,76434.15,-94531.15,9,4,9.76530612244898,4.59,2.04,0.5585,Low
Spotify,Entertainment & Streaming,183,1233592.32,3879.14,220067.99,10884.58,73196.22,-298865.82,11,6,10.825136612021858,6.01,3.28,0.8823,Medium
Tiffany & Co,Luxury Goods,191,828270.37,2219.23,85074.37,9748.61,63547.18,-152059.34999999998,8,8,10.549738219895287,4.19,4.19,1.177,Medium
Progressive,Insurance,104,637459.74,1770.69,32582.86,7749.53,58423.29,-96515.01,5,4,10.317307692307692,4.81,3.85,1.2157,Moderate
National Car,Auto & Transportation,287,1984837.28,5381.1,141172.59,18981.420000000002,58091.32,-208702.09,11,9,10.013937282229966,3.83,3.14,0.9563,Low
