month_year,total_transactions,gross_tv,fee_income,interchange_income,processing_cost,fraud_loss,chargeback_loss,refund_loss,net_revenue,net_pnl,fraud_count,net_pnl_mom_variance,net_pnl_mom_pct,fraud_loss_mom_pct,revenue_mom_pct
2023-01,2109,14478010.0,41592.94,101701.97,44067.76,3914926.5700000003,2074286.6600000001,125490.62,99227.15,-6015476.7,115,,,,
2023-02,1886,13262612.03,31662.64,61915.86,40346.63,1949787.28,2839842.36,186811.76,53231.87,-4923209.53,94,1092267.17,-18.16,-50.2,-46.35
2023-03,2106,12190345.75,33117.09,56881.36,37206.67,1892825.46,2205891.43,122071.58,52791.78,-4167996.69,102,755212.8400000003,-15.34,-2.92,-0.83
2023-04,1988,11035691.9,28227.03,56211.79,33708.86,1263570.8800000001,973199.71,100748.5,50729.96,-2286789.13,107,1881207.56,-45.13,-33.24,-3.91
2023-05,2118,15789745.37,40593.06,62281.01,48022.27,2653423.08,2944073.6300000004,328464.31,54851.8,-5871109.22,85,-3584320.09,156.74,109.99,8.13
2023-06,2009,12710496.65,35524.73,69186.38,38731.51,1858810.0699999998,2382123.92,183276.95,65979.6,-4358231.34,104,1512877.88,-25.77,-29.95,20.29
2023-07,2118,12289983.38,32539.52,69211.86,37503.76,1125534.52,1540221.22,131792.73,64247.62,-2733300.85,120,1624930.4899999998,-37.28,-39.45,-2.63
2023-08,2239,12915772.88,36257.17,69866.4,39419.47,1425695.0399999998,1554462.38,148681.01,66704.09999999999,-3062134.33,106,-328833.48,12.03,26.67,3.82
2023-09,1995,10646783.27,29923.4,52748.56,32534.61,635424.02,1296283.6199999999,135900.22,50137.35,-2017470.51,99,1044663.8200000001,-34.12,-55.43,-24.84
2023-10,2153,11286796.47,33308.87,46362.01,34507.07,1020009.49,982659.99,130318.47,45163.81,-2087824.1400000001,99,-70353.63000000012,3.49,60.52,-9.92
2023-11,2011,12218531.09,28489.39,66053.16,37257.29,734059.34,1419646.58,156830.8,57285.26,-2253251.46,89,-165427.31999999983,7.92,-28.03,26.84
2023-12,2182,12945020.72,31761.12,46557.13,39496.03,3186831.49,1807321.11,164318.28,38822.22,-5119648.66,127,-2866397.2,127.21,334.14,-32.23
2024-01,2106,15314677.69,47109.48,66750.7,46570.71,2917653.08,1237689.13,108489.86,67289.47,-4196542.6,112,923106.0600000005,-18.03,-8.45,73.33
2024-02,1871,11540093.19,37427.21,45837.07,35184.03,2291858.41,1261401.72,96159.12,48080.25,-3601339.0,91,595203.5999999996,-14.18,-21.45,-28.55
2024-03,2155,14467757.85,36766.08,57560.54,44038.0,3592707.56,1258983.28,224526.15000000002,50288.62,-5025928.37,129,-1424589.37,39.56,56.76,4.59
2024-04,2087,11819522.12,32911.92,59957.43,36083.07,1392928.07,534093.33,173333.23,56786.28,-2043568.35,86,2982360.02,-59.34,-61.23,12.92
2024-05,2165,15300291.83,37294.85,67204.83,46551.89,1858787.25,1644717.33,111070.45,57947.79,-3556627.24,96,-1513058.8900000001,74.04,33.44,2.05
2024-06,2017,10944663.54,30526.05,55961.92,33430.79,1293237.54,817889.49,140404.99,53057.18,-2198474.84,93,1358152.4000000004,-38.19,-30.43,-8.44
2024-07,2215,14485303.74,36605.49,58321.12,44118.22,1318151.53,1353868.4200000002,309928.55,50808.39,-2931140.11,113,-732665.27,33.33,1.93,-4.24
2024-08,2103,13290298.72,33729.97,53651.0,40504.82,1507726.63,1712806.1600000001,243385.88,46876.15,-3417042.52,110,-485902.41000000015,16.58,14.38,-7.74
2024-09,2072,12173206.98,33945.58,72212.15,37149.76,2066226.08,1142086.81,93449.99,69007.97,-3232754.91,93,184287.60999999987,-5.39,37.04,47.21
2024-10,2105,15523962.58,39727.03,70605.79,47192.8,4335753.11,1752242.53,486662.57,63140.02,-6511518.19,94,-3278763.2800000003,101.42,109.84,-8.5
2024-11,2109,14303738.24,39012.69,84763.47,43547.69,3309161.71,1970956.6,119627.64,80228.47,-5319517.4799999995,114,1192000.710000001,-18.31,-23.68,27.06
2024-12,2081,13952327.02,39109.88,38460.37,42485.96,3987713.24,2632737.59,159048.55,35084.29,-6744415.09,109,-1424897.6100000003,26.79,20.51,-56.27
